district_name,county_name,primary_city,total_households_isd,median_income_isd,mean_income_isd,district_rating_2019,district_rating_2019_num,grad_rate,dropout_rate,2016_property_value_total,2016_median_property_value,2016_isd_taxrate,2016_avg_annual_taxdue,2017_property_value_total,2017_median_property_value,2017_isd_taxrate,2017_avg_annual_taxdue,2018_property_value_total,2018_median_property_value,2018_isd_taxrate,2018_avg_annual_taxdue,2019_property_value_total,2019_median_property_value,2019_isd_taxrate,2019_avg_annual_taxdue,2020_property_value_total,2020_median_property_value,2020_isd_taxrate,2020_avg_annual_taxdue
burleson_isd,tarrant,burleson,21652,78355,95196,B,3,,,3902405571,167781,0.0154,2583.83,4302128192,184499,0.0167,3081.1333,4713537132,199691,0.0167,3334.8397,5215547446,220617,0.0156835,3460.04672,5551468175,220883,0.015383,3397.84
carroll_isd,tarrant,southlake,9670,223125,290593,A,4,,,7162478978,642263,0.0139,8927.46,7866650025,681080,0.01385,9432.958,8488767084,718235,0.0138,9911.643,9127899790,761199,0.013,9895.587,9357803308,755613,0.012864,9720.21
carrollton_farmers_branch_isd,denton,carrollton,77186,70691,89952,B,3,,,16591930453,211175,0.01392,2939.56,17892844975,229249,0.01381,3165.92869,19361103872,247645,0.0137,3392.7365,23205400784,259045,0.0126835,3285.597258,25095294134,263063,0.012547,3300.65
castleberry_isd,tarrant,river_oaks,6917,51655,61008,B,3,,,570030520,85200,0.01377,1172.86,647440557,96236,0.013922,1339.797592,769553924,112011,0.013922,1559.417142,908801153,139584,0.0129055,1801.401312,986064462,146788,0.012413,1822.08
cedar_hill_isd,dallas,cedar_hill,15518,70737,85771,B,3,,,3007551300,189579.4,0.01516,2874.02,3249069554,206899.5165,0.01516,3136.596671,3586916858,229652.4304,0.01376,3160.017442,3852252423,248316.4601,0.01306,3243.012969,4249973197,259780.5,0.012833,3333.76
celina_isd,collin,celina,4210,111488,142991,A,4,,,984482753,254000,0.0164,4165.6,1162801551,313000,0.0164,5133.2,1384778852,330400,0.0164,5418.56,1583650467,350488,0.015489,5428.708632,1725000000,347000,0.014832,5146.7
community_isd,collin,nevada,3192,81984,97785,A,4,,,677521591,166000,0.01625,2697.5,811712771,194000,0.01625,3152.5,945607461,219300,0.0167,3662.31,1089969746,233174,0.0156835,3656.984429,1175000000,238000,0.014862,3537.16
coppell_isd,dallas,coppell,18463,127832,159562,A,4,,,10314120118,626952.82,0.01493,9358.52,11038630023,656613.2402,0.014777,9702.77385,12120887448,719131.412,0.014605,10502.91427,13205203638,774392.0313,0.013309,10306.38354,13883202126,799785.81,0.0131,10477.19
crowley_isd,tarrant,crowley,35888,65843,85499,B,3,,,5692103144,162745,0.0165,2685.29,6292033769,180257,0.0167,3010.2919,6835557170,192507,0.0167,3214.8669,7745454251,218396,0.015684,3425.322864,8393185503,218495,0.015398,3364.39
dallas_isd,dallas,dallas,423435,52405,84827,B,3,,,1.01677E+11,357382.8,0.01282,4581.95,1.1E+11,390603.1116,0.01282085,5007.863903,1.2E+11,428990.0503,0.01412035,6057.489657,1.3E+11,473428.8272,0.01310385,6203.740338,1.4E+11,493736.53,0.012967,6402.45
denton_isd,denton,denton,67313,73279,93738,B,3,,,14268341718,235579,0.0154,3627.92,16200904513,255219,0.0154,3930.3726,17980678133,275105,0.0154,4236.617,20169337202,287029,0.0147,4219.3263,21698838243,294383,0.014076,4143.74
desoto_isd,dallas,desoto,19708,72573,84760,C,2,,,2594562853,153596.6,0.0146,2242.51,2850409387,168437.7978,0.0149,2509.723188,3148925422,189444.366,0.0149,2822.721054,3456506557,209813.5833,0.0152835,3206.6859,3767324211,222503.18,0.015291,3402.27
duncanville_isd,dallas,duncanville,26276,54133,70923,B,3,,,3948034338,203989.51,0.01521,3103.66,4293719467,222726.3449,0.0152148,3388.736793,4692390186,245977.5335,0.0152,3738.85851,5074167273,268519.614,0.014183,3808.413685,5555801604,284175.63,0.013676,3886.39
eagle_mountain_saginaw_isd,tarrant,saginaw,34476,85253,98135,B,3,,,7652013685,178773,0.0154,2753.1,8424218427,194297,0.0154,2992.1738,9637448608,210626,0.0154,3243.6404,10760706873,232947,0.01518,3536.13546,11567271175,234396,0.014964,3507.5
era_isd,denton,era,738,64900,88789,B,3,,,140981944,31995,0.01308,418.49,148706143,42706,0.01245,531.6897,175045506,50334,0.0121,609.0414,191107317,48839,0.0114,556.7646,190074975,110314,0.011364,1253.61
everman_isd,tarrant,everman,7686,49947,63941,B,3,,,1206675286,99936,0.01525,1524.02,1258708159,110020,0.0151,1661.302,1393034324,126082,0.01495,1884.9259,1628853894,146728,0.0139,2039.5192,1743668674,150299,0.0137,2059.1
farmersville_isd,collin,farmersville,2546,72661,87473,A,4,,,465175661,136000,0.01429,1943.44,542792968,167000,0.0139,2321.3,623617125,192800,0.0132,2544.96,724880708,206990,0.01209425,2503.388808,789000000,217000,0.01143,2480.31
ferris_isd,dallas,ferris,3056,64024,71282,B,3,,,335113874,86587.96,0.01355,1173.27,371000263,102752.5328,0.013873,1425.485887,420994212,127115.368,0.015173,1928.721478,520739433,159430.7556,0.01442749,2300.185631,598493685,226129.12,0.013138,2970.88
fort_worth_isd,tarrant,fort_worth,131956,91881,121119,C,2,,,30903276110,147421,0.01352,1993.13,34274605541,163097,0.01352,2205.07144,36459430364,174185,0.01352,2354.9812,41864347523,193916,0.01282,2486.00312,43467419400,192928,0.013784,2659.32
frisco_isd,collin,frisco,86220,117908,143409,A,4,,,21644299469,346000,0.0146,5051.6,25229733632,384000,0.0146,5606.4,28835549222,407600,0.0144,5869.44,31311150676,421402,0.013383,5639.622966,32900000000,416000,0.013102,5450.43
garland_isd,dallas,garland,94829,69045,85397,B,3,,,15941444274,206988.56,0.0146,3022.03,17562153524,227265.2532,0.0146,3318.072696,19439035998,252027.8764,0.0146,3679.606995,21063970780,272643.3426,0.0139,3789.742462,22994049984,284114.78,0.013463,3825.04
godley_isd,tarrant,godley,2783,68958,79704,C,2,,,771902369,320266,0.0154,4932.1,780509368,341885,0.0154,5265.029,896063402,364569,0.0154,5614.3626,999992633,396340,0.0147,5826.198,1039664305,388536,0.014664,5697.49
grand_prairie_isd,dallas,grand_prairie,39770,61028,74016,B,3,,,5787566202,184242.76,0.01595,2938.67,6340644433,205577.5811,0.01595,3278.962418,6978673957,227324.6783,0.01595,3625.828618,7737047734,252179.552,0.0153835,3879.404138,8677222698,275567.22,0.015097,4160.24
grapevine_colleyville_isd,tarrant,grapevine,32385,102638,137067,A,4,,,12662564591,367182,0.01397,5128.43,13758990935,397063,0.013967,5545.778921,14742263025,409987,0.013967,5726.288429,16087527318,427966,0.013267,5677.824922,16963409444,426098,0.013031,5552.48
highland_park_isd,dallas,highland_park,156,76207,105078,A,4,,,16762708435,1520015.84,0.01157,17591.14,17373101920,1590121.349,0.0118255,18803.98001,18272685145,1667635.903,0.012107,20190.06787,18969530666,1750900.564,0.011344,19862.216,19551125835,1796023.61,0.011247,20198.98
hurst_euless_bedford_isd,tarrant,bedford,59658,65197,83072,A,4,,,11180706987,183860,0.01316,2419.6,12863100691,204015,0.01263,2576.70945,13815372860,220981,0.01273,2813.08813,15530423106,243345,0.0122,2968.809,16502565544,244209,0.01198,2925.62
irving_isd,dallas,irving,62259,56200,73450,B,3,,,10634264410,284371.58,0.01445,4109.17,11205868241,308894.8961,0.014314,4421.521543,12159813982,338125.5881,0.014011,4737.477615,14477473463,370209.7547,0.013051,4831.607509,15781656685,393653.21,0.012751,5019.47
keller_isd,tarrant,keller,58923,106059,131726,B,3,,,15396016302,266471,0.0152,4050.36,16947312374,287522,0.0152,4370.3344,18237460038,300937,0.0151,4544.1487,19995810612,323620,0.014083,4557.54046,20720821662,321047,0.013947,4477.64
kennedale_isd,tarrant,kennedale,7251,76399,92123,B,3,,,1219065215,185191,0.01487,2753.28,1314365492,197724,0.0148,2926.3152,1456973181,213829,0.01451694,3104.142763,1635326688,239680,0.0135,3235.68,1709993632,235767,0.013364,3150.79
krum_isd,denton,krum,3128,77402,91196,B,3,,,671796079,169342,0.0154,2607.87,748251660,185389,0.0154,2854.9906,854353309,196749,0.0154,3029.9346,958436654,215600,0.0139183,3000.78548,971499569,230473,0.013451,3100.05
lake_dallas_isd,denton,lake_dallas,8608,82300,96624,B,3,,,1612882015,204267,0.0167,3411.26,1755698214,221615,0.0167,3700.9705,1946135625,243678,0.0167,4069.4226,2180642548,264174,0.015683,4143.040842,2312464972,270581,0.015503,4194.82
lake_worth_isd,tarrant,lake_worth,8608,82300,96624,C,2,,,826685491,107791,0.0167,1800.11,910926675,113986,0.0167,1903.5662,1032236007,125432,0.0167,2094.7144,1122562511,148034,0.015684,2321.765256,1191091226,151506,0.015102,2288.04
lancaster_isd,dallas,lancaster,13652,58340,69325,B,3,,,2086062973,169122.84,0.0154,2604.49,2312785684,185791.2549,0.0154,2861.185326,2654621965,215962.0008,0.0153,3304.218612,3134398604,255532.6608,0.0152835,3905.433421,3463372343,258714.48,0.014999,3880.46
leonard_isd,collin,leonard,1447,58446,75693,C,2,,,8748096,100000,0.01266,1266,11620541,140000,0.0125906,1762.684,16222369,178700,0.0117,2090.79,18033909,204367,0.0106835,2183.354845,19300000,209000,0.009801,2048.41
lewisville_isd,denton,lewisville,110452,92644,121060,B,3,,,32662025500,312979,0.0142,4444.3,35953941515,332147,0.014075,4674.969025,39078281975,353197,0.014075,4971.247775,42669300142,367654,0.013375,4917.37225,45384656531,376844,0.013473,5077.22
little_elm_isd,denton,little_elm,7114,74836,89387,B,3,,,3261071095,254568,0.0154,3920.35,3865118227,279431,0.0154,4303.2374,4596711407,302301,0.0164,4957.7364,5178411664,313336,0.015383,4820.047688,5650138354,322255,0.014936,4813.2
lovejoy_isd,collin,lovejoy,4699,130734,193957,A,4,,,2338265088,486000,0.0167,8116.2,2591343285,535000,0.0167,8934.5,2828543921,563500,0.0167,9410.45,3020890727,601399,0.0156835,9432.041217,3080000000,599000,0.015547,9312.65
mansfield_isd,tarrant,mansfield,51478,94583,112237,A,4,,,11855631267,213373,0.0151,3221.93,13039797215,234221,0.0154,3607.0034,14108062080,250046,0.0154,3850.7084,15561686891,270197,0.0146,3944.8762,16492433276,268290,0.014464,3880.55
mckinney_isd,collin,mckinney,45504,90593,115137,B,3,,,12835259913,289000,0.0162,4681.8,14407571070,319000,0.0162,5167.8,15802999790,340500,0.0159,5413.95,17030726613,352797,0.0148835,5250.85415,17575000000,352000,0.014747,5190.94
melissa_isd,collin,melissa,3291,108381,124071,A,4,,,820430597,236000,0.0167,3941.2,1003840252,256000,0.0167,4275.2,1248146918,281600,0.0167,4702.72,1516391775,300359,0.0156835,4710.680377,1730000000,304000,0.01463,4447.52
mesquite_isd,dallas,mesquite,55166,56504,67221,B,3,,,6983310655,164273.83,0.0146,2398.4,7657882592,183811.89,0.0146,2683.653594,8341193550,202802.9281,0.0152,3082.604507,9127934750,221068.3538,0.0145,3205.49113,10119093006,230446.17,0.014464,3333.17
northwest_isd,denton,justin,34432,102897,123473,A,4,,,13134202193,292837,0.01453,4253.46,14865134626,318156,0.0149,4740.5244,17561692186,337636,0.0149,5030.7764,20067500899,347226,0.0142,4930.6092,22511013079,359054,0.014663,5264.81
pilot_point_isd,denton,pilot_point,3272,66883,87714,B,3,,,645440524,196840,0.0137,2696.71,710180185,218306,0.0137,2990.7922,775432569,237293,0.0137,3250.9141,876043551,258219,0.0126835,3275.120687,945311069,275651,0.012186,3359.08
plano_isd,collin,plano,134288,90229,121238,A,4,,,45885674702,321000,0.01439,4619.19,51159578806,356000,0.01439,5122.84,55495986679,377600,0.01439,5433.664,58701988528,392604,0.0133735,5250.489594,60260000000,388000,0.013238,5136.15
ponder_isd,denton,ponder,2135,82896,91142,B,3,,,590580733,180682,0.01468,2652.12,608822635,195652,0.0146779,2871.760491,740677400,210568,0.0146779,3090.696047,785512653,232690,0.0146778,3415.377282,730652722,243813,0.014642,3569.86
princeton_isd,collin,princeton,5818,66704,81650,A,4,,,771080749,139000,0.0162,2251.8,984673219,167000,0.0162,2705.4,1245313698,192100,0.0162,3112.02,1527212831,206339,0.0156835,3236.117707,1690000000,209000,0.014698,3071.88
prosper_isd,collin,prosper,13954,137797,160023,A,4,,,4674247619,385000,0.0167,6429.5,6009116274,413000,0.0167,6897.1,7415571402,434100,0.0167,7249.47,8611232755,449172,0.0156835,7044.589062,9200000000,442000,0.014927,6597.73
richardson_isd,dallas,richardson,95745,62485,96185,B,3,,,20382347171,343677.28,0.0139,4777.29,22082810600,380958.4135,0.0139005,5295.512427,23755941099,417621.8895,0.0152,6347.85272,25527502090,443496.3963,0.0141835,6290.331137,27209133414,457087.82,0.014047,6420.71
rockwall_isd,collin,rockwall,26848,105080,128927,A,4,,,770101,,0.01465,  -    ,808833,338000,0.0144,4867.2,824043,349400,0.0143,4996.42,894620,480186,0.0135,6482.511,937000,507000,0.0131,6641.7
royse_city,collin,royse_city,8487,85058,97300,B,3,,,137793113,161000,0.0167,2688.7,165665945,187000,0.0167,3122.9,184657391,208600,0.0167,3483.62,210027416,226508,0.0156835,3552.438218,217000000,227000,0.014648,3325.1
sanger_isd,denton,sanger,5232,72115,93100,B,3,,,946109832,159204,0.01372,2184.39,1029680161,177998,0.01372067,2442.251819,1136419582,192618,0.01372067,2642.848014,1232650802,211931,0.0130835,2772.799239,1383964565,224656,0.011976,2690.58
slidell_isd,denton,slidell,730,70741,101389,B,3,,,265205490,106753,0.01135,1211.65,244270429,121336,0.0114,1383.2304,286654810,128343,0.011275,1447.067325,327998264,144553,0.0107,1546.7171,279506090,175986,0.010604,1866.16
sunnyvale_isd,dallas,sunnyvale,1951,133750,150653,A,4,,,1013967200,395719.52,0.01426,5642.96,1105019817,422004.603,0.0152,6414.469966,1204484605,448624.6512,0.0152,6819.094699,1226270421,449380.2713,0.0145,6516.013934,1414606629,489716.09,0.013892,6803.14
trenton_isd,collin,trenton,1210,78542,92348,B,3,,,9083834,143000,0.0146,2087.8,10965372,158000,0.0146,2306.8,13545112,169700,0.0142,2409.74,16045233,267551,0.0126835,3393.483109,16500000,322000,0.011749,3783.18
van_alstyne_isd,collin,van_alstyne,2803,83884,105273,A,4,,,39018836,187000,0.0152,2842.4,43316685,206000,0.0162,3337.2,49768342,233000,0.0162,3774.6,59083003,288086,0.015359,4424.712874,62000000,307000,0.0145,4451.5
white_settlement_isd,tarrant,white_settlement,510,71667,88375,B,3,,,1737850327,127506,0.0154,1963.59,1871907208,138850,0.0154,2138.29,2095357100,152621,0.0152,2319.8392,2429108907,176726,0.0145,2562.527,2570558169,179698,0.014159,2544.34
whitewright_isd,collin,whitewright,1448,72833,83608,B,3,,,4828191,188000,0.0135,2538,4961619,197000,0.0135,2659.5,5950459,216900,0.0132,2863.08,6497296,239655,0.0124535,2984.543543,7000000,235000,0.011698,2748.94
wylie_isd,collin,wylie,21006,97871,109051,A,4,,,4963014060,226000,0.01345,3039.7,5735865873,259000,0.01383,3581.97,6495958721,281000,0.01462,4108.22,7145177104,298609,0.01368,4084.97112,7460000000,298000,0.01345,4008.1
