District Name,District Rating,,,,,,,Self-reported total tax rate,,,,,,,"T1 = School district taxable value before $10,000 homestead exemption",,,,,
,2016,2017,2018,2019,2020,5 year avg,,2016,2017,2018,2019,2020,5 year avg,,2016,2017,2018,2019,2020,5 year avg
Rockwall ISD,,,,,,,,1.465,1.44,1.43,1.35,1.31,1.399,,7877107598,8732911656,9710060720,10459923877,11386370912,9633274953
Royse City ISD,,,,,,,,1.67,1.67,1.67,1.56835,1.4648,1.60863,,1481550268,1717072755,1991748031,2342406497,2704819094,2047519329
Sanger ISD,,,,,,,,1.372067,1.372067,1.372067,1.30835,1.197643,1.3244388,,946109832,1029680161,1136419582,1232650802,1383964565,1145764988
Slidell ISD,,,,,,,,1.135,1.14,1.1275,1.07,1.0604,1.10658,,265205490,244270429,286654810,327998264,279506090,280727016.6
Sunnyvale ISD,,,,,,,,1.426,1.52,1.52,1.45,1.3892,1.46104,,1013967200,1105019817,1204484605,1226270421,1414606629,1192869734
Tioga ISD,,,,,,,,1.53,1.53,1.53,1.42,1.3498,1.47196,,91094667,103950438,114461108,128576525,146582483,116933044.2
Trenton ISD,,,,,,,,1.46,1.46,1.42,1.26835,1.1749,1.35665,,179002829,193636933,226975532,264249865,294899185,231752868.8
Valley View ISD (Cooke),,,,,,,,1.344,1.344,1.329,1.294,1.275,1.3172,,828790454,853350059,920842442,1040721976,1116727102,952086406.6
Van Alstyne ISD,,,,,,,,1.52,1.62,1.62,1.5359,1.45,1.54918,,572296415,596505844,709035443,808217533,917638835,720738814
White Settlement ISD,,,,,,,,1.54,1.54,1.52,1.45,1.4159,1.49318,,1737850327,1871907208,2095357100,2429108907,2570558169,2140956342
Whitewright ISD,,,,,,,,1.35,1.35,1.32,1.24535,1.16976,1.287022,,208159162,227104074,274286745,336293731,366856302,282540002.8
Wylie ISD (Collin),,,,,,,,1.34525,1.383,1.462,1.368,1.345,1.38065,,9863809067,7713089648,8553900664,9341632259,9863809067,9067248141
