district_name,county,district_rating_2018,district_rating_2019,district_rating_avg, 2016 CERTIFIED TAXABLE VALUE , 2016 AVG MARKET VALUE ,2016 ISD TAX RATE, 2016 AVG TAX/PROPERTY ,2017 CERTIFIED TAXABLE VALUE,2017 AVG MARKET VALUE,2017 ISD TAX RATE,2017 AVG TAX/PROPERTY,2018 CERTIFIED TAXABLE VALUE,2018 AVG MARKET VALUE,2018 ISD TAX RATE,2018 AVG TAX/PROPERTY,2019 CERTIFIED TAXABLE VALUE,2019 AVG MARKET VALUE,2019 ISD TAX RATE,2019 AVG TAX/PROPERTY,2020 ESTIMATE OF TAXABLE VALUE,2020 AVG MARKET VALUE,2020 ISD TAX RATE,2020 AVG TAX/PROPERTY
CEDAR HILL ISD,Dallas,C,B,B/C,"3,007,551,300.00","189,579.40",0.01516,"2,874.02",3249069554,206899.5165,0.01516,3136.596671,3586916858,229652.4304,0.01376,3160.017442,3852252423,248316.4601,0.01306,3243.012969,4249973197,259780.5043,0.012833,3333.763212
Celina ISD,Collin,A,A,A,"984,482,753.00","254,000.00",0.0164,"4,165.60",1162801551,313000,0.0164,5133.2,1384778852,330400,0.0164,5418.56,1583650467,350488,0.015489,5428.708632,1725000000,347000,0.014832,5146.704
CELINA ISD,Denton,A,A,A,"1,008,321,180.00","110,578.00",0.0164,"1,813.48",1172168014,115499,0.0164,1894.1836,1377941175,147103,0.0164,2412.4892,1592388540,168818,0.015489,2614.822002,1806615982,182184,0.014832,2702.153088
Community ISD,Collin,C,A,B,"677,521,591.00","166,000.00",0.01625,"2,697.50",811712771,194000,0.01625,3152.5,945607461,219300,0.0167,3662.31,1089969746,233174,0.0156835,3656.984429,1175000000,238000,0.014862,3537.156
COPPELL ISD,Dallas,A,A,A,"10,314,120,118.00","626,952.82",0.01493,"9,358.52",11038630023,656613.2402,0.014777,9702.77385,12120887448,719131.412,0.014605,10502.91427,13205203638,774392.0313,0.013309,10306.38354,13883202126,799785.8111,0.0131,10477.19412
Crowley ISD,Tarrant,C,B,B/C,"5,692,103,144.00","162,745.00",0.0165,"2,685.29",6292033769,180257,0.0167,3010.2919,6835557170,192507,0.0167,3214.8669,7745454251,218396,0.015684,3425.322864,8393185503,218495,0.015398,3364.38601
DALLAS ISD,Dallas,B,B,B,"101,677,000,000.00","357,382.80",0.01282,"4,581.95",1.10E+11,390603.1116,0.01282085,5007.863903,1.20E+11,428990.0503,0.01412035,6057.489657,1.30E+11,473428.8272,0.01310385,6203.740338,1.40E+11,493736.5329,0.01296735,6402.45443
DENTON ISD,Denton,B,B,B,"14,268,341,718.00","235,579.00",0.0154,"3,627.92",16200904513,255219,0.0154,3930.3726,17980678133,275105,0.0154,4236.617,20169337202,287029,0.0147,4219.3263,21698838243,294383,0.014076,4143.735108
DESOTO ISD,Dallas,D,C,C/D,"2,594,562,853.00","153,596.60",0.0146,"2,242.51",2850409387,168437.7978,0.0149,2509.723188,3148925422,189444.366,0.0149,2822.721054,3456506557,209813.5833,0.0152835,3206.6859,3767324211,222503.1815,0.0152909,3402.273898
DUNCANVILLE ISD,Dallas,C,B,B/C,"3,948,034,338.00","203,989.51",0.01521,"3,103.66",4293719467,222726.3449,0.0152148,3388.736793,4692390186,245977.5335,0.0152,3738.85851,5074167273,268519.614,0.014183,3808.413685,5555801604,284175.6333,0.013676,3886.385961
